Date,Open,High,Low,Close,Adj Close,Volume
2018-08-03,49.970001,50.160000,49.730000,49.910000,49.910000,5426100
2018-08-06,49.889999,50.119999,49.570000,49.990002,49.990002,5086900
2018-08-07,50.150002,50.840000,50.099998,50.130001,50.130001,5632300
2018-08-08,50.130001,50.380001,49.959999,50.119999,50.119999,5884100
2018-08-09,50.099998,50.250000,49.410000,49.439999,49.439999,7581900
2018-08-10,48.880001,48.889999,48.139999,48.389999,48.389999,14321600
2018-08-13,48.340000,48.480000,47.279999,47.349998,47.349998,11445900
2018-08-14,47.500000,48.040001,47.400002,47.860001,47.860001,8695500
2018-08-15,47.259998,47.590000,47.020000,47.450001,47.450001,9496100
2018-08-16,47.830002,48.590000,47.799999,48.299999,48.299999,8264500
2018-08-17,48.169998,48.610001,48.169998,48.369999,48.369999,5854500
2018-08-20,48.330002,48.590000,48.150002,48.290001,48.290001,7898200
2018-08-21,48.119999,48.939999,48.009998,48.540001,48.540001,9632000
2018-08-22,48.360001,48.660000,48.240002,48.599998,48.599998,4952000
2018-08-23,48.419998,48.720001,47.980000,48.130001,48.130001,7699300
2018-08-24,48.340000,48.610001,48.099998,48.139999,48.139999,5620600
2018-08-27,48.480000,50.099998,48.419998,49.889999,49.889999,13317400
2018-08-28,50.049999,50.430000,49.880001,50.000000,50.000000,7419100
2018-08-29,50.000000,50.189999,49.580002,49.950001,49.950001,7856700
2018-08-30,49.770000,49.889999,49.200001,49.299999,49.299999,11399900
2018-08-31,49.090000,49.090000,48.570000,48.830002,48.830002,7341000
