Date,Open,High,Low,Close,Adj Close,Volume
2018-08-03,113.199997,114.099998,112.400002,114.089996,114.089996,4747500
2018-08-06,114.660004,116.839996,114.160004,115.940002,115.940002,12715600
2018-08-07,116.570000,117.900002,116.239998,116.559998,116.559998,15466900
2018-08-08,115.900002,116.410004,113.900002,113.980003,113.980003,11722900
2018-08-09,114.050003,114.800003,112.809998,114.160004,114.160004,7041500
2018-08-10,113.580002,113.800003,112.400002,112.680000,112.680000,5740200
2018-08-13,112.660004,112.839996,111.720001,112.120003,112.120003,6080900
2018-08-14,112.379997,113.190002,111.949997,112.750000,112.750000,4326400
2018-08-15,112.180000,113.120003,111.470001,112.849998,112.849998,5183200
2018-08-16,113.300003,113.330002,112.400002,112.480003,112.480003,5082500
2018-08-17,112.510002,112.860001,111.889999,112.480003,112.480003,4764500
2018-08-20,112.930000,113.000000,111.910004,111.989998,111.989998,5167600
2018-08-21,112.250000,113.000000,112.000000,112.389999,112.389999,4770400
2018-08-22,112.440002,112.750000,111.940002,111.940002,111.940002,3213000
2018-08-23,111.940002,112.139999,111.529999,112.000000,112.000000,4257400
2018-08-24,111.629997,112.699997,111.440002,111.930000,111.930000,5049000
2018-08-27,112.489998,112.889999,112.070000,112.330002,112.330002,4767700
2018-08-28,112.570000,112.790001,112.199997,112.580002,112.580002,3131600
2018-08-29,112.580002,112.720001,112.019997,112.449997,112.449997,4001500
2018-08-30,112.070000,112.419998,111.589996,111.919998,111.919998,3481600
2018-08-31,111.900002,112.279999,111.559998,112.019997,112.019997,4642800
