Date,Open,High,Low,Close,Adj Close,Volume
2018-08-03,155.699997,156.970001,154.289993,156.210007,155.240891,3673100
2018-08-06,156.029999,157.410004,155.460007,156.720001,155.747711,2375200
2018-08-07,156.910004,157.199997,155.839996,156.039993,155.071930,1929300
2018-08-08,156.490005,158.929993,156.169998,158.919998,157.934067,2988000
2018-08-09,158.839996,159.619995,157.960007,159.300003,158.311707,2729700
2018-08-10,158.339996,159.509995,157.869995,158.679993,157.695557,3343200
2018-08-13,158.479996,158.990005,157.250000,158.139999,157.158905,2879600
2018-08-14,158.350006,161.429993,158.190002,160.600006,159.603653,3111600
2018-08-15,159.809998,160.460007,158.369995,159.880005,158.888123,3355500
2018-08-16,160.149994,162.279999,160.149994,161.729996,160.726624,2822100
2018-08-17,161.899994,161.899994,160.240005,161.149994,160.150223,2527400
2018-08-20,161.289993,162.160004,161.100006,161.679993,160.676941,2659500
2018-08-21,161.460007,161.949997,161.020004,161.039993,160.040909,1920900
2018-08-22,161.410004,161.509995,160.080002,160.550003,159.553955,2361500
2018-08-23,160.559998,160.789993,158.369995,159.050003,158.063263,2755500
2018-08-24,158.740005,159.860001,158.300003,159.380005,158.391220,2199400
2018-08-27,160.229996,160.520004,159.199997,160.479996,159.484390,2627100
2018-08-28,160.550003,161.669998,160.160004,161.639999,160.637192,2138000
2018-08-29,161.919998,163.339996,161.690002,163.110001,162.098068,3168200
2018-08-30,163.029999,163.289993,162.369995,162.800003,161.789993,3038400
2018-08-31,161.529999,162.910004,161.529999,162.229996,162.229996,3649700
