Date,open,high,low,close,adj close,volume,sma,sma_t,ema,ema_t,mom,mom_t,stk,stk_t,std,std_t,rsi,rsi_t,macd,macd_t,wr,wr_t,vr,vr_t,cci,cci_t
1980-12-12,0.513393,0.515625,0.513393,0.513393,0.023357,117258400.0,0.513393,0,0.513393,0,,0,33.33333333333333,0,44.444444444444436,0,,0,0.0,0,100.0,0,,0,,0
1980-12-15,0.488839,0.488839,0.48660699999999996,0.48660699999999996,0.022139,43971200.0,0.501116,0,0.4998883,0,-5.2174455047108275,0,22.222222222222218,0,37.03703703703703,0,0.0,0,-0.0006009679487178898,0,100.0,0,0.0,0,-66.66666666666653,0
1980-12-16,0.453125,0.453125,0.45089300000000004,0.45089300000000004,0.020513999999999998,26432000.0,0.485119,0,0.48108976411960136,0,-7.339392980372239,0,14.814814814814811,0,29.629629629629626,0,0.0,0,-0.0018732414538840114,0,100.0,0,0.0,0,-100.00000000000001,0
1980-12-17,0.462054,0.464286,0.462054,0.462054,0.021022,21610400.0,0.47935275,0,0.4748183279702971,0,2.47531010683244,0,15.623829456761122,0,24.961029572006787,0,16.554412336054952,0,-0.0020030243391065405,0,82.75814125934625,0,30.69519567292396,0,-49.57209975532155,0
1980-12-18,0.475446,0.477679,0.475446,0.475446,0.021631,18362400.0,0.4785714,0,0.47499851553891104,0,2.898362529055043,0,23.059298115255295,0,24.327119086422954,0,31.25910540783549,0,-0.001498479212763415,0,62.06976456775636,0,56.77696468342348,0,-8.334080003186003,0
1980-12-19,0.504464,0.506696,0.504464,0.504464,0.022951,12157600.0,0.4828868333333333,0,0.4826517196448731,0,6.1033219335108635,0,42.95891249661894,0,30.537716889821617,0,51.289251231060454,0,7.381393066924202e-05,0,17.241858740653747,0,74.04549793191218,0,76.9224878330824,0
1980-12-22,0.529018,0.53125,0.529018,0.529018,0.024068,9340800.0,0.48947699999999994,0,0.49382413063218267,0,4.867344349646352,0,61.0467400184245,0,40.707391266022576,0,61.50950884283149,0,0.0021932069980618585,0,2.77760493796435,0,87.3130766783328,0,116.66715061814413,0
1980-12-23,0.551339,0.553571,0.551339,0.551339,0.025084,11737600.0,0.49720974999999995,0,0.5069090405931955,0,4.219327130645856,0,73.3065646754046,0,51.573782402483246,0,68.06844225959469,0,0.004640643746561701,0,2.1737860106352014,0,103.98504613426663,0,130.66633215907228,0
1980-12-24,0.580357,0.582589,0.580357,0.580357,0.026404,12000800.0,0.5064483333333333,0,0.5228887463026081,0,5.2631865331493,0,81.63943901860893,0,61.595667941191806,0,74.21904048254012,0,0.007704526906152642,0,1.6948122949823927,0,121.03086223353483,0,148.51468679530205,0
1980-12-26,0.633929,0.636161,0.633929,0.633929,0.028841000000000002,13893600.0,0.5191964,0,0.5462134361538863,0,9.230869964521826,0,87.35804559916674,0,70.18312716051679,0,81.35811772696916,0,0.012525329873928848,0,1.2047412397176052,0,140.7651924912504,0,174.79734020752255,0
1980-12-29,0.642857,0.645089,0.642857,0.642857,0.029248000000000003,23290400.0,0.5321428,1,0.5659565080154412,1,1.4083596112498542,0,91.18891231256319,1,77.18505554453225,1,82.24072836740648,0,0.016308905438063737,1,1.1493542606438918,0,173.8466433343939,1,131.53714339447706,0
1980-12-30,0.629464,0.629464,0.627232,0.627232,0.028537,17220000.0,0.5462052999999999,1,0.5786451886823468,1,-2.430556095679137,0,90.87392234683713,0,81.74801114530054,1,75.50327580925715,0,0.018002657765991303,1,9.195349028816254,1,280.384862091084,1,88.48477739717336,0
1980-12-31,0.611607,0.611607,0.609375,0.609375,0.027724000000000002,8937600.0,0.5620535,1,0.5851145787020211,1,-2.846952961583593,0,86.89846642138487,0,83.46482957066198,1,68.58770258612958,0,0.01801126847697887,1,19.51211516922994,1,467.90837079854424,1,55.72916848958277,0
1981-01-02,0.616071,0.620536,0.616071,0.616071,0.028029000000000002,5415200.0,0.5774552,1,0.5911038213643282,1,1.0988307692307853,1,84.3873035401825,0,83.77232089383548,1,69.70812098739509,0,0.01817185944637456,1,17.105332963930124,0,405.99443374009854,0,53.38916441323148,0
1981-01-05,0.604911,0.604911,0.602679,0.602679,0.02742,8932000.0,0.5904016999999999,1,0.5937443665179755,1,-2.1737754252350916,0,77.41220867235009,0,81.65228348667368,0,64.73494322932197,0,0.0172664105127186,0,30.158222222222264,1,250.319182891797,0,22.112154074945025,0
1981-01-06,0.578125,0.578125,0.575893,0.575893,0.026201,11289600.0,0.5977678,1,0.590785144812958,0,-4.444488691326553,0,60.338450226011155,0,74.54767239978617,0,56.112035534744386,0,0.014737779407058005,0,59.61523550240803,1,163.17314658295098,0,-46.4235535893371,0
