Id,Title,Description,URL,Timestamp
17,Former PM Manmohan Singh hits out at Modi Government,Singh made these remarks at an opposition protest against rising fuel prices here.,https://www.moneycontrol.com/news/india/former-pm-manmohan-singh-hits-out-at-modi-government-2935521.html,2018-09-10T06:25:05Z
18,"Bannon in Italia per lanciare The Movement: ​""Salvini è un leader mondiale""","Per Steve Bannon l'Italia è ""il centro politico del mondo"", una sorta di laboratorio, come lo è stato l'America con Donald Trump e l'India con Nerendra Modi. In questi giorni quello, che è stato il consulente del presidente degli Stati Uniti nella vittoriosa …",http://www.ilgiornale.it/news/politica/bannon-italia-lanciare-movement-salvini-leader-mondiale-1573834.html,2018-09-10T06:22:42Z
19,"Jack Ma to retire in 2019: Here#39;s a look at succession, future plans and what it means for India",Maâs suggestion to his successor will be to focus on India that is not yet saturated like China.,https://www.moneycontrol.com/news/business/jack-ma-to-retire-in-2019-heres-a-look-at-succession-future-plans-and-what-it-means-for-india-2935501.html,2018-09-10T06:19:47Z
20,"Modi Government Has Crossed All Limits, Says Manmohan Singh At Bandh","Former prime minister Manmohan Singh, participating in the opposition's ""Bharat Bandh"" protest today, tore into the BJP-led government, saying it has ""now crossed all limits"".",https://www.ndtv.com/india-news/narendra-modi-government-has-crossed-all-limits-says-manmohan-singh-at-bharat-bandh-1914049,2018-09-10T06:17:20Z
21,Congress leader P. Chidambaram dares BJP to contradict official data on economy,P. Chidambaram reacted after BJP president Amit Shah asked his party leaders to challenge him and others from the opposition for an open debate on the government’s economic policies based on facts and figures,https://www.livemint.com/Politics/1wtVlJY7vVqhVgOQxzo0aM/Congress-leader-P-Chidambaram-dares-BJP-to-contradict-offic.html,2018-09-10T06:11:43Z
22,"Bharat Bandh LIVE updates: India is tired of Narendra Modi, says Rahul Gandhi, reiterates favours given to industrialists","Bharat Bandh LIVE updates: Leading the Congress march in New Delhi and spearheading the nationwide Bharat Bandh, Rahul Gandhi addressed the workers and slammed the Narendra Modi government for lacking empathy for the poor. Reiterating his point on BJP support…",https://www.firstpost.com/india/bharat-bandh-live-updates-india-is-tired-of-narendra-modi-says-rahul-gandhi-reiterates-favours-given-to-industrialists-5149371.html,2018-09-10T06:10:12Z
23,"'Bharat Bandh' an attempt to spread rumour, confusion: BJP",India News: NEW DELHI: The BJP Monday dubbed the 'Bharat Bandh' call given by the Congress and several other parties as an attempt to spread rumour and confusion .,https://timesofindia.indiatimes.com/india/bharat-bandh-an-attempt-to-spread-rumour-confusion-bjp/articleshow/65750201.cms,2018-09-10T06:01:50Z
24,"Bharat Bandh: Offices, schools and colleges open at regular time","Heavy police deployment was made in the national capital with reserve police forces deployed and motorcycle patrols being put on high alert, a senior police officer said.",https://economictimes.indiatimes.com/news/politics-and-nation/bharat-bandh-offices-schools-and-colleges-open-at-regular-time/articleshow/65750185.cms,2018-09-10T06:00:55Z
25,"Away From Politics, Indian Air Force Pilot Crew Flies To France For Rafale Jet Training","A fighter pilot, an engineer and four technicians form the first batch of the team that will train on the Rafale jets  as IAF  mulls to prepare itself  for the induction of  the first batch of the French fighter by September next year. The team left on Sunday…",https://www.indiatimes.com/news/india/away-from-politics-indian-air-force-pilot-crew-flies-to-france-for-rafale-jet-training-352764.html,2018-09-10T05:59:43Z
26,"'Bharat Bandh' An Attempt To Spread Rumour, Confusion Among Masses: BJP","The BJP Monday dubbed the 'Bharat Bandh' call given by the Congress and several other parties as an attempt to spread rumour and confusion among the masses and said people will ""puncture the grand alliance balloon"" floated by the main opposition party.",https://www.ndtv.com/india-news/bharat-bandh-an-attempt-to-spread-rumour-confusion-among-masses-bjp-1914037,2018-09-10T05:59:29Z
27,"Salvini ritratto a testa in giù a Torino, lui: “Che squallore, quanto odio. Rispondiamo con le idee”","«Salvini a testa in giù in centro a Torino. Che squallore. Quanto odio. Noi rispondiamo con idee, cuore e coraggio, so che siamo in tantissimi, vero?» Così il vicepremier e ministro dell’Interno Matteo Salvini, postando la foto di un murales con un uomo somig…",http://www.lastampa.it/2018/09/10/cronaca/salvini-ritratto-a-testa-in-gi-a-torino-lui-che-squallore-quanto-odio-rispondiamo-con-le-idee-guydooUBRgo8DTlWrY1QaJ/pagina.html,2018-09-10T05:57:52Z
28,"Despite President Trump’s hollering, US-India ties have actually thrived on his watch","For the first time, India will have a liaison person at the Bahrain naval base of Centcom, the first “dialogue” with a US command that has been traditionally closer to Pakistan",https://blogs.timesofindia.indiatimes.com/Globespotting/two-plus-two-tango-despite-president-trumps-hollering-us-india-ties-have-actually-thrived-on-his-watch/,2018-09-10T05:57:33Z
29,A New ERA of Transparency & Accountability in Real Estate – 2 Years of Implementation -Shri Hardeep Puri Inaugurates “First Regional Workshop on RERA,"The Union Minister of State(I/C) Housing and Urban Affairs, Shri Hardeep Singh Puri has said that the NDA government at the centre is committed to provide positive solution to the problems of home buyers, so that they get their home as soon as possible.",http://pib.nic.in/newsite/PrintRelease.aspx?relid=183353,2018-09-10T05:57:00Z
