Date,Open,High,Low,Close,Adj Close,Volume
2018-08-03,1175.000000,1183.500000,1169.550049,1176.949951,1176.949951,6645397
2018-08-06,1176.699951,1196.000000,1175.349976,1192.599976,1192.599976,4016418
2018-08-07,1194.900024,1201.400024,1177.000000,1184.199951,1184.199951,4059460
2018-08-08,1185.000000,1222.500000,1185.000000,1217.699951,1217.699951,7912437
2018-08-09,1221.500000,1231.699951,1212.000000,1217.949951,1217.949951,6846928
2018-08-10,1211.000000,1215.000000,1202.300049,1204.199951,1204.199951,3581210
2018-08-13,1197.550049,1199.949951,1182.699951,1187.699951,1187.699951,4668159
2018-08-14,1190.000000,1217.199951,1184.300049,1210.599976,1210.599976,5299536
2018-08-16,1203.250000,1216.000000,1195.500000,1200.800049,1200.800049,5982490
2018-08-17,1209.000000,1215.400024,1200.050049,1203.750000,1203.750000,3830992
2018-08-20,1207.900024,1236.800049,1207.650024,1234.900024,1234.900024,7607036
2018-08-21,1237.250000,1251.500000,1227.000000,1247.199951,1247.199951,7279641
2018-08-23,1246.300049,1274.000000,1238.400024,1269.449951,1269.449951,7968123
2018-08-24,1265.250000,1279.949951,1260.050049,1277.500000,1277.500000,6652005
2018-08-27,1279.400024,1295.849976,1278.750000,1291.500000,1291.500000,5572177
2018-08-28,1296.000000,1323.000000,1295.000000,1319.000000,1319.000000,8694751
2018-08-29,1316.300049,1329.000000,1290.199951,1294.199951,1294.199951,11077203
2018-08-30,1293.599976,1297.150024,1270.449951,1274.449951,1274.449951,9850042
2018-08-31,1270.000000,1270.000000,1236.599976,1241.650024,1241.650024,15305857
2018-09-03,1245.000000,1257.900024,1226.050049,1229.150024,1229.150024,12200022
