Id,Title,Description,URL,Timestamp
20,Snapchat’s parent company’s chief strategy officer Imran Khan to step down,Khan was named to the role in 2015 and played a key part in taking Snap public in March of 2017. The post Snapchat’s parent company’s chief strategy officer Imran Khan to step down appeared first on Firstpost.,https://www.firstpost.com/tech/news-analysis/snapchats-parent-companys-chief-strategy-officer-imran-khan-to-step-down-5157901.html,2018-09-11T02:29:44Z
21,"Tesla to eliminate some paint options to increase production efficiency, gives last chance to order","Tesla is telling customers that it is about to eliminate some paint options for Model S, Model X and Model 3 “in order to increase production, delivery and service efficiency.” The automaker is offering customers a last chance to order them. more…",https://electrek.co/2018/09/10/tesla-model-3-paint-options-removed-increase-production-efficiency/,2018-09-11T02:28:23Z
22,APPLE becomes most shorted company ahead of iPhone launch...,"Short sellers have circled Apple on the eve of the tech giant&rsquo;s highly-anticipated iPhone launch, with the tech giant becoming America&rsquo;s most bet-against company.",https://www.telegraph.co.uk/technology/2018/09/10/apple-becomes-shorted-us-company-ahead-iphone-launch/,2018-09-11T02:04:37Z
23,There's Still No Chance That Apple Will Buy Tesla,"Tesla fans love the idea, but it isn't happening. Here's why.",https://www.fool.com/investing/2018/09/10/theres-still-no-chance-that-apple-will-buy-tesla.aspx,2018-09-11T01:47:00Z
24,"SP, Nasdaq edge higher after recent losses but Apple drags","The Dow Jones Industrial Average fell 20.89 points, or 0.08 percent, to 25,895.65, the S&P 500 gained 8.43 points, or 0.29 percent, to 2,880.11 and the Nasdaq Composite added 25.69 points, or 0.33 percent, to 7,928.23.",https://www.moneycontrol.com/news/business/markets/sp-nasdaq-edge-higher-after-recent-losses-but-apple-drags-2939141.html,2018-09-11T01:45:20Z
25,Snap chief strategy officer leaves in latest executive departure,"By Akanksha Rana (Reuters) - Snap Inc, the parent of Snapchat messaging, said on Monday Chief Strategy Officer Imran Khan will step down, the latest top-level exit amid pressure to stem a drop in users following a controversial redesign of the app. Khan, 41, …",https://www.firstpost.com/business/snap-chief-strategy-officer-leaves-in-latest-executive-departure-5157751.html,2018-09-11T01:35:15Z
26,"DOTS, now with more Galaxy!","Mmmm I love the Galaxy S7&#39;s camera. This is the second Tesla to appear in the parking lot, the other is a 100D Model S owned by the President of the company. Read more...",https://oppositelock.kinja.com/dots-now-with-more-galaxy-1828955075,2018-09-11T00:52:26Z
27,"Your Tesla is probably vulnerable to hackers, but there's an easy fix - Yahoo Finance UK","Yahoo Finance UK Your Tesla is probably vulnerable to hackers, but there's an easy fix Yahoo Finance UK Hackers can likely quickly and easily steal your Tesla Model S, but this high-tech heist comes with a catch: There's a simple way to prevent it. Researcher…",https://slashdot.org/firehose.pl?op=view&amp;id=102710238,2018-09-11T00:52:08Z
28,"S&P, Nasdaq edge higher after recent losses but Apple drags",US President Donald Trump says he is ready to levy additional taxes on practically all Chinese imports.,https://www.freemalaysiatoday.com/category/business/2018/09/11/sp-nasdaq-edge-higher-after-recent-losses-but-apple-drags/,2018-09-11T00:40:47Z
29,2018 Tesla Model 3 Dual Motor Performance Quick Test Review - Motor Trend,"Motor Trend 2018 Tesla Model 3 Dual Motor Performance Quick Test Review Motor Trend Every push notification or swipe up seems to bring more brow-furrowing news about Tesla, mostly due to the mystifying moves of its chief executive. So many questions swirl—wha…",https://slashdot.org/firehose.pl?op=view&amp;id=102710050,2018-09-11T00:32:10Z
