Date, Adj_Closing_Price
2016-01-04,101.014191
2016-01-05,98.482849
2016-01-06,96.555565
2016-01-07,92.480484
2016-01-08,92.969498
2016-01-11,94.474884
2016-01-12,95.846008
2016-01-13,93.381798
2016-01-14,95.424126
2016-01-15,93.132484
2016-01-19,92.681847
2016-01-20,92.806503
2016-01-21,92.336662
2016-01-22,97.245934
2016-01-25,95.347427
2016-01-26,95.874786
2016-01-27,89.57518
2016-01-28,90.217606
2016-01-29,93.333855
2016-02-01,92.461311
2016-02-02,90.59156
2016-02-03,92.384598
2016-02-04,93.1269
2016-02-05,90.639664
2016-02-08,91.594078
2016-02-09,91.574799
2016-02-10,90.880684
2016-02-11,90.331177
2016-02-12,90.610756
2016-02-16,93.165482
2016-02-17,94.592262
2016-02-18,92.799126
2016-02-19,92.587059
2016-02-22,93.396843
2016-02-23,91.285568
2016-02-24,92.644897
2016-02-25,93.281166
2016-02-26,93.425774
2016-02-29,93.213684
2016-03-01,96.915619
2016-03-02,97.127716
2016-03-03,97.850739
2016-03-04,99.306458
2016-03-07,98.207436
2016-03-08,97.397629
2016-03-09,97.484413
2016-03-10,97.5326
2016-03-11,98.58342
2016-03-14,98.834068
2016-03-15,100.820015
2016-03-16,102.160034
2016-03-17,101.996147
2016-03-18,102.111832
2016-03-21,102.102196
2016-03-22,102.883064
2016-03-23,102.31427
2016-03-24,101.870819
2016-03-28,101.408089
2016-03-29,103.808548
2016-03-30,105.620964
2016-03-31,105.071449
2016-04-01,106.035492
2016-04-04,107.12487
2016-04-05,105.861961
2016-04-06,106.970627
2016-04-07,104.63765
2016-04-08,104.753319
2016-04-11,105.100372
2016-04-12,106.469322
2016-04-13,108.011795
2016-04-14,108.069633
2016-04-15,105.900528
2016-04-18,103.615738
2016-04-19,103.066238
2016-04-20,103.278313
2016-04-21,102.160034
2016-04-22,101.880455
2016-04-25,101.302032
2016-04-26,100.598267
2016-04-27,94.303047
2016-04-28,91.42054
2016-04-29,90.369743
2016-05-02,90.273331
2016-05-03,91.757965
2016-05-04,90.803558
2016-05-05,90.43499
2016-05-06,89.930634
2016-05-09,89.998535
2016-05-10,90.609573
2016-05-11,89.726952
2016-05-12,87.622231
2016-05-13,87.796814
2016-05-16,91.05574
2016-05-17,90.677467
2016-05-18,91.715279
2016-05-19,91.366112
2016-05-20,92.355431
2016-05-23,93.529022
2016-05-24,94.954796
2016-05-25,96.623062
2016-05-26,97.389297
2016-05-27,97.331093
2016-05-31,96.855843
2016-06-01,95.497955
2016-06-02,94.780228
2016-06-03,94.97419
2016-06-06,95.662834
2016-06-07,96.050804
2016-06-08,95.963524
2016-06-09,96.652153
2016-06-10,95.856819
2016-06-13,94.411652
2016-06-14,94.52803
2016-06-15,94.217667
2016-06-16,94.615334
2016-06-17,92.46212
2016-06-20,92.239037
2016-06-21,93.024666
2016-06-22,92.675507
2016-06-23,93.208954
2016-06-24,90.590187
2016-06-27,89.271095
2016-06-28,90.774452
2016-06-29,91.560097
2016-06-30,92.723991
2016-07-01,93.005264
2016-07-05,92.132347
2016-07-06,92.656097
2016-07-07,93.053764
2016-07-08,93.771507
2016-07-11,94.062469
2016-07-12,94.48925
2016-07-13,93.955788
2016-07-14,95.818039
2016-07-15,95.808319
2016-07-18,96.826736
2016-07-19,96.865524
2016-07-20,96.952835
2016-07-21,96.438766
2016-07-22,95.691956
2016-07-25,94.411652
2016-07-26,93.761803
2016-07-27,99.852875
2016-07-28,101.201065
2016-07-29,101.074974
2016-08-01,102.859627
2016-08-02,101.336853
2016-08-03,102.607445
2016-08-04,103.241302
2016-08-05,104.811317
2016-08-08,105.679222
2016-08-09,106.108307
2016-08-10,105.318413
2016-08-11,105.250153
2016-08-12,105.493942
2016-08-15,106.761665
2016-08-16,106.664139
2016-08-17,106.508125
2016-08-18,106.371605
2016-08-19,106.644638
2016-08-22,105.81575
2016-08-23,106.147301
2016-08-24,105.347672
2016-08-25,104.899086
2016-08-26,104.284737
2016-08-29,104.167717
2016-08-30,103.368065
2016-08-31,103.465576
2016-09-01,104.079948
2016-09-02,105.055122
2016-09-06,105.025856
2016-09-07,105.669479
2016-09-08,102.900002
2016-09-09,100.569328
2016-09-12,102.821976
2016-09-13,105.269653
2016-09-14,108.994804
2016-09-15,112.700455
2016-09-16,112.066589
2016-09-19,110.759865
2016-09-20,110.750114
2016-09-21,110.730614
2016-09-22,111.77404
2016-09-23,109.911469
2016-09-26,110.077232
2016-09-27,110.282028
2016-09-28,111.120674
2016-09-29,109.394623
2016-09-30,110.243034
2016-10-03,109.726181
2016-10-04,110.194267
2016-10-05,110.243034
2016-10-06,111.062164
2016-10-07,111.227943
2016-10-10,113.168541
2016-10-11,113.412331
2016-10-12,114.426506
2016-10-13,114.075439
2016-10-14,114.709312
2016-10-17,114.631294
2016-10-18,114.553284
2016-10-19,114.211975
2016-10-20,114.153458
2016-10-21,113.70488
2016-10-24,114.728798
2016-10-25,115.313919
2016-10-26,112.719963
2016-10-27,111.63752
2016-10-28,110.896393
2016-10-31,110.720856
2016-11-01,108.721756
2016-11-02,108.819275
2016-11-03,107.652863
2016-11-04,106.68248
2016-11-07,108.221375
2016-11-08,108.858475
2016-11-09,108.682053
2016-11-10,105.653305
2016-11-11,106.280617
2016-11-14,103.614532
2016-11-15,104.986778
2016-11-16,107.809685
2016-11-17,107.770493
2016-11-18,107.878304
2016-11-21,109.515205
2016-11-22,109.583809
2016-11-23,109.025116
2016-11-25,109.574013
2016-11-28,109.358368
2016-11-29,109.250565
2016-11-30,108.329185
2016-12-01,107.319611
2016-12-02,107.721481
2016-12-05,106.947144
2016-12-06,107.770493
2016-12-07,108.829071
2016-12-08,109.897469
2016-12-09,111.691193
2016-12-12,111.054092
2016-12-13,112.906616
2016-12-14,112.906616
2016-12-15,113.524132
2016-12-16,113.671158
2016-12-19,114.327881
2016-12-20,114.631729
2016-12-21,114.739555
2016-12-22,113.984818
2016-12-23,114.210243
2016-12-27,114.935585
2016-12-28,114.445503
2016-12-29,114.416092
2016-12-30,113.524132
